operator,n_train,n_test,flag_A1_rate_test,flag_A1_rate_train,flag_A1_rate_ratio,flag_A2_rate_test,flag_A2_rate_train,flag_A2_rate_ratio,flag_A3_rate_test,flag_A3_rate_train,flag_A3_rate_ratio,flag_A4_rate_test,flag_A4_rate_train,flag_A4_rate_ratio,flag_A5_rate_test,flag_A5_rate_train,flag_A5_rate_ratio,flag_A6_rate_test,flag_A6_rate_train,flag_A6_rate_ratio,flag_A7_rate_test,flag_A7_rate_train,flag_A7_rate_ratio
Bird,41808,4499,0.0,0.03898775353999234,0.0,0.0,0.01081132797550708,0.0,1.0,0.8308457711442786,1.2035928143712575,0.05956879306512558,0.03284060466896288,1.8138762567128697,0.0,0.01987657864523536,0.0,0.0,0.0,0.0,1.0,0.6656859931113662,1.502209766088175
Citiz (carsharing),44760,1547,1.0,0.0018543342269883825,539.277108433735,0.0,0.010098302055406613,0.0,0.0,0.8765638963360143,0.0,0.15578539107950873,0.03127792672028597,4.98068150337058,0.21137685843568196,0.011260053619302948,18.772278142026043,0.0,0.0,0.0,0.0,0.7222966934763181,0.0
Dott,26083,20224,0.0,0.062492811409730474,0.0,0.0,0.017329294943066367,0.0,1.0,0.7288655446075988,1.371995160696439,0.0150810917721519,0.051221101867116516,0.2944312250696392,0.0,0.0318598320745313,0.0,0.0,0.0,0.0,0.9996044303797469,0.46444044013342023,2.1522768992566403
Pony,34842,11465,0.0,0.04678261867860628,0.0,0.03593545573484518,0.0011480397221743871,31.3015787178369,1.0,0.7970265771195684,1.2546633057256031,0.043000436109899697,0.03294874002640491,1.305070727300632,0.0,0.023850525228172895,0.0,0.0,0.0,0.0,0.6485826428259921,0.7144825210952299,0.9077655837287385
Voi,43491,2816,0.0,0.03747901864753627,0.0,0.0,0.010392954864224781,0.0,1.0,0.8373916442482353,1.1941843543205468,0.04012784090909091,0.03513370582419351,1.1421465503777963,0.0,0.019107401531351313,0.0,0.0,0.0,0.0,0.0,0.7433721919477593,0.0
Vélib' Métropole,44774,1533,0.0,0.03640505650600795,0.0,0.0,0.010095144503506499,0.0,0.0,0.8762898110510564,0.0,0.016960208741030658,0.0360700406485907,0.4702020967002518,0.0,0.01855987850091571,0.0,0.0,0.0,0.0,0.0,0.7220708446866485,0.0
Vélo&Co,46213,94,0.0,0.0352714604115725,0.0,0.0,0.009780797611061822,0.0,0.0,0.8490035271460411,0.0,0.0,0.035509488672018696,0.0,0.0,0.017981953130071626,0.0,0.0,0.0,0.0,0.0,0.6995866963841343,0.0
