log10_ratio,density
-0.09549949877332353,0.6596633757253466
-0.09513912273182779,0.660297229169276
-0.09477874669033204,0.6609304826659802
-0.09441837064883629,0.661563133587955
-0.09405799460734054,0.662195179309659
-0.0936976185658448,0.6628266172075357
-0.09333724252434906,0.663457444660035
-0.09297686648285332,0.6640876590476359
-0.09261649044135757,0.6647172577528676
-0.09225611439986182,0.6653462381603314
-0.09189573835836608,0.6659745976567237
-0.09153536231687033,0.6666023336308567
-0.09117498627537458,0.6672294434736803
-0.09081461023387884,0.6678559245783052
-0.09045423419238309,0.6684817743400243
-0.09009385815088736,0.6691069901563325
-0.08973348210939161,0.6697315694269507
-0.08937310606789586,0.6703555095538487
-0.08901273002640012,0.6709788079412636
-0.08865235398490437,0.6716014619957251
-0.08829197794340862,0.6722234691260736
-0.08793160190191288,0.6728448267434867
-0.08757122586041713,0.6734655322614956
-0.08721084981892138,0.6740855830960123
-0.08685047377742564,0.6747049766653472
-0.08649009773592989,0.675323710390232
-0.08612972169443416,0.6759417816938423
-0.08576934565293841,0.6765591880018199
-0.08540896961144266,0.6771759267422908
-0.08504859356994691,0.6777919953458922
-0.08468821752845117,0.6784073912457897
-0.08432784148695542,0.6790221118777016
-0.08396746544545967,0.6796361546799186
-0.08360708940396393,0.6802495170933281
-0.0832467133624682,0.6808621965614341
-0.08288633732097245,0.681474190530377
-0.0825259612794767,0.6820854964489588
-0.08216558523798095,0.6826961117686635
-0.0818052091964852,0.6833060339436771
-0.08144483315498946,0.6839152604309101
-0.08108445711349371,0.6845237886900211
-0.08072408107199797,0.6851316161834339
-0.08036370503050222,0.6857387403763633
-0.08000332898900647,0.6863451587368335
-0.07964295294751073,0.6869508687357029
-0.07928257690601498,0.6875558678466809
-0.07892220086451925,0.6881601535463537
-0.0785618248230235,0.6887637233142041
-0.07820144878152775,0.6893665746326312
-0.077841072740032,0.689968704986975
-0.07748069669853626,0.6905701118655357
-0.07712032065704051,0.6911707927595951
-0.07675994461554476,0.6917707451634384
-0.07639956857404903,0.6923699665743749
-0.07603919253255328,0.6929684544927611
-0.07567881649105754,0.6935662064220197
-0.07531844044956179,0.6941632198686608
-0.07495806440806604,0.6947594923423068
-0.0745976883665703,0.6953550213557083
-0.07423731232507455,0.6959498044247692
-0.0738769362835788,0.6965438390685658
-0.07351656024208306,0.6971371228093698
-0.07315618420058731,0.697729653172667
-0.07279580815909156,0.6983214276871808
-0.07243543211759582,0.6989124438848912
-0.07207505607610007,0.6995026993010575
-0.07171468003460434,0.7000921914742383
-0.07135430399310859,0.7006809179463132
-0.07099392795161284,0.7012688762625028
-0.0706335519101171,0.7018560639713916
-0.07027317586862135,0.7024424786249455
-0.0699127998271256,0.7030281177785369
-0.06955242378562985,0.7036129789909622
-0.06919204774413412,0.7041970598244646
-0.06883167170263838,0.7047803578447536
-0.06847129566114263,0.7053628706210283
-0.06811091961964688,0.7059445957259938
-0.06775054357815113,0.706525530735887
-0.06739016753665539,0.7071056732304931
-0.06702979149515964,0.7076850207931693
-0.0666694154536639,0.7082635710108628
-0.06630903941216815,0.7088413214741353
-0.0659486633706724,0.7094182697771789
-0.06558828732917665,0.7099944135178403
-0.0652279112876809,0.7105697502976398
-0.06486753524618517,0.7111442777217922
-0.06450715920468943,0.7117179933992274
-0.06414678316319368,0.7122908949426107
-0.06378640712169793,0.7128629799683629
-0.06342603108020219,0.7134342460966825
-0.06306565503870644,0.7140046909515625
-0.06270527899721069,0.7145743121608156
-0.06234490295571495,0.7151431073560898
-0.061984526914219205,0.7157110741728921
-0.06162415087272346,0.7162782102506074
-0.06126377483122771,0.7168445132325184
-0.06090339878973197,0.717409980765827
-0.060543022748236225,0.7179746105016734
-0.06018264670674048,0.718538400095157
