log10_ratio,density
-0.1,4.218610183911358e-16
-0.09963917386337208,5.564631681233223e-16
-0.09927834772674415,7.332788651711206e-16
-0.09891752159011623,9.653118345949173e-16
-0.0985566954534883,1.2694973979743909e-15
-0.09819586931686038,1.6678681820109942e-15
-0.09783504318023245,2.1890584569306018e-15
-0.09747421704360452,2.8702433812970755e-15
-0.0971133909069766,3.75963618860437e-15
-0.09675256477034867,4.919700370496809e-15
-0.09639173863372075,6.431277112109104e-15
-0.09603091249709282,8.398883031490557e-15
-0.0956700863604649,1.0957502699838454e-14
-0.09530926022383697,1.4281288275923913e-14
-0.09494843408720904,1.8594689641780365e-14
-0.0945876079505811,2.4186678639740033e-14
-0.09422678181395318,3.1428907834496306e-14
-0.09386595567732525,4.079886695850872e-14
-0.09350512954069733,5.2909380439100916e-14
-0.0931443034040694,6.85461415873733e-14
-0.09278347726744147,8.871542110493559e-14
-0.09242265113081355,1.1470464183194849e-13
-0.09206182499418562,1.4815920577865691e-13
-0.0917009988575577,1.9117982772088183e-13
-0.09134017272092977,2.4644571440150095e-13
-0.09097934658430185,3.173702820684569e-13
-0.09061852044767392,4.0829779237726755e-13
-0.090257694311046,5.247513873269876e-13
-0.08989686817441807,6.737456160520304e-13
-0.08953604203779014,8.641797906667744e-13
-0.08917521590116222,1.1073325331942092e-12
-0.08881438976453429,1.4174828627162883e-12
-0.08845356362790636,1.8126893439692827e-12
-0.08809273749127844,2.315766448122603e-12
-0.08773191135465051,2.9555066962972616e-12
-0.08737108521802259,3.768208772677486e-12
-0.08701025908139466,4.799586101819705e-12
-0.08664943294476674,6.107147986375839e-12
-0.08628860680813881,7.763167029123102e-12
-0.08592778067151088,9.858373105723873e-12
-0.08556695453488296,1.2506546689491973e-11
-0.08520612839825503,1.585022416107342e-11
-0.08484530226162709,2.006777644155435e-11
-0.08448447612499918,2.5382181771499214e-11
-0.08412364998837124,3.2071886017249917e-11
-0.08376282385174333,4.048423228498193e-11
-0.08340199771511539,5.1052049188403633e-11
-0.08304117157848746,6.431411784192407e-11
-0.08268034544185954,8.094039632845932e-11
-0.08231951930523161,1.017630727577778e-10
-0.08195869316860369,1.2781475095088714e-10
-0.08159786703197576,1.603753544562982e-10
-0.08123704089534783,2.010296748038356e-10
-0.08087621475871991,2.517379002786878e-10
-0.08051538862209198,3.149219559077026e-10
-0.08015456248546406,3.935710802486305e-10
-0.07979373634883613,4.913707794817468e-10
-0.0794329102122082,6.128601573434534e-10
-0.07907208407558028,7.636236479602588e-10
-0.07871125793895235,9.505244099383452e-10
-0.07835043180232443,1.1819881122308396e-09
-0.0779896056656965,1.4683476002022447e-09
-0.07762877952906858,1.8222610266889407e-09
-0.07726795339244065,2.2592185296568857e-09
-0.07690712725581272,2.798155507908027e-09
-0.0765463011191848,3.4621940742033983e-09
-0.07618547498255687,4.279538450541092e-09
-0.07582464884592895,5.284555029148573e-09
-0.07546382270930102,6.519073690206166e-09
-0.07510299657267308,8.033953900712609e-09
-0.07474217043604517,9.890967300984158e-09
